epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
10,0.010516867182077708,0.0,0.9234744857767345,0.0,0.30782482859224486,0.7566202878952026,0.023986549160200293,0.0,0.6743214325465214,0.0,0.2247738108488405,0.7220374345779419,0.0005,21.5,False
11,0.009231970883594568,0.0,0.9368802229469949,0.0,0.3122934076489983,0.7602762579917908,0.02907721353492335,0.0,0.599539869887439,0.0,0.19984662329581301,0.7299956679344177,0.0005,21.4,False
12,0.008388358645837637,0.0,0.9415913957278507,0.0,0.3138637985759502,0.7607406973838806,0.021345379758808437,0.0,0.7012657208514008,0.0,0.23375524028380026,0.7265422940254211,0.0005,21.3,False
13,0.007556366168289701,0.0,0.9450359421766943,0.0,0.31501198072556474,0.7611018419265747,0.020272580385916745,0.0,0.7877543448380213,0.0,0.2625847816126738,0.7441086769104004,0.0005,22.8,True
14,0.006897507884431493,0.35435118305432134,0.9459931131772444,0.0023529364248996757,0.43423241088548853,0.7941731810569763,0.020015761596353158,0.49368799823630916,0.7828453873413099,9.98876264202772e-05,0.42554442440134643,0.7898566722869873,0.0005,24.1,True
15,0.0061438614136484,0.7805696774781483,0.9476156539263528,0.14152733089086222,0.6232375540984544,0.8584980368614197,0.021125719358678907,0.4895391689177829,0.7884958800155706,0.11483120928866856,0.464288752740674,0.8017870783805847,0.0005,21.5,True
16,0.00561486391308414,0.7824133379821249,0.9430380685976153,0.6794659911172788,0.801639132565673,0.8979454040527344,0.019936884488181577,0.5556798076290006,0.7735884850626478,0.3868375952632841,0.5720352959849775,0.8072232007980347,0.0005,22.4,True
17,0.004635404926499157,0.8091863323196532,0.9524958579423902,0.7686523266932066,0.8434448389850834,0.9178532361984253,0.02415064603758409,0.4966688606847033,0.7547928156566953,0.3895279517760488,0.5469965427058158,0.8184645771980286,0.0005,21.5,False
18,0.0041934638645265135,0.8175686707009113,0.9565648107241981,0.7906676790490151,0.8549337201580416,0.9205857515335083,0.019043731151411877,0.5773972284517042,0.7727220379364141,0.41578448944918867,0.5886345852791023,0.8162766695022583,0.0005,25.0,True
19,0.00428297265337796,0.8186542126559722,0.9540268173417268,0.8025555565565877,0.8584121955180956,0.9262763857841492,0.022019685261361503,0.5145918265718233,0.763434526287821,0.3907290546335746,0.5562518024977396,0.8145231604576111,0.0005,21.5,False
20,0.004059890436507212,0.8260872877433904,0.9539841065917678,0.8066552100865718,0.8622422014739101,0.92527174949646,0.021439718208832503,0.49861658137770803,0.7847967422069436,0.4418297173185584,0.5750810136344033,0.8125395178794861,0.0005,21.6,False
21,0.003876580896644877,0.8342108493001493,0.957874380278522,0.8193101052856326,0.8704651116214347,0.932630181312561,0.01760987485948768,0.5391375320746443,0.8325098827657019,0.2673768157807071,0.5463414102070178,0.8191540837287903,0.0005,21.5,False
22,0.0037894326673752017,0.8318716312473107,0.9562860506545082,0.8148017508015969,0.867653144234472,0.9313130378723145,0.019081130496836168,0.5888059084809278,0.7887305696502531,0.5141885856951693,0.6305750212754501,0.8336427807807922,0.0005,22.5,True
23,0.0035283040754442965,0.8411322632805068,0.9590318235768954,0.8257013187346248,0.8752884685306758,0.9365912079811096,0.024072446236412203,0.5037754298207392,0.7599595100987331,0.413696403200707,0.5591437810400598,0.8158136606216431,0.0005,21.5,False
24,0.0034298503777360485,0.8462482544755671,0.9594855586729706,0.8313565520643778,0.8790301217376385,0.9380810856819153,0.02519665706387731,0.5536468091388844,0.7166674026406075,0.3594714140918305,0.5432618752904408,0.8237512707710266,0.0005,21.6,False
