epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
13,0.005972116115429141,0.7713627173431926,0.9388197330660462,0.028695676002636544,0.5796260421372917,0.8676973581314087,0.018927850926790953,0.49641158657017764,0.7919299666657663,0.08773743136767095,0.4586929948678716,0.7859565019607544,0.0005,21.6,True
14,0.005503083735149718,0.7819995352148238,0.9402579128351803,0.35691272612138986,0.6930567247237981,0.8901090621948242,0.02307721303836645,0.5076112159541035,0.7064357705285669,0.3180040730584361,0.5106836865137022,0.8069465160369873,0.0005,21.7,True
15,0.0046770456684001385,0.8043423726639443,0.949759495895119,0.641657335160835,0.798586401239966,0.9153021574020386,0.018914929841159153,0.4908064261513413,0.8147586825985,0.4494780825724775,0.5850143971074396,0.8138782978057861,0.0005,21.5,True
16,0.004636012987799616,0.8108421760785574,0.9463115193750872,0.7194380359275332,0.8255305771270592,0.9207392930984497,0.019013590830550327,0.5336737045055392,0.7924410747521552,0.38109680344526775,0.5690705275676541,0.8134440779685974,0.0005,21.4,False
17,0.004311625877967126,0.8211373817842361,0.952683078330699,0.7515087419816633,0.8417764006988661,0.9262980222702026,0.01898530497666165,0.45390971793615076,0.8094988997972626,0.4660435538474176,0.5764840571936104,0.805051326751709,0.0005,21.5,False
18,0.004099913313622103,0.8262070043573059,0.953856107282052,0.7822424811267332,0.8541018642553637,0.9319334626197815,0.02042145390846797,0.5026160324321478,0.7992343444670703,0.45521354553051985,0.585687974143246,0.8244270086288452,0.0005,21.5,True
19,0.003639179166258318,0.8387511987789339,0.9584523301602206,0.8019494585947162,0.8663843291779569,0.9396652579307556,0.02771445220062995,0.40492847074132265,0.7378012437038196,0.6161253647145123,0.5862850263865514,0.8180046081542969,0.0005,21.6,True
20,0.00425569167093205,0.825259473596766,0.9481250753112052,0.7959603347280877,0.8564482945453529,0.9294989705085754,0.020652635504160098,0.5192957003101648,0.7803975455001317,0.5551097863974707,0.618267677402589,0.8092358708381653,0.0005,21.7,True
21,0.003590840198678062,0.8459822496357212,0.9568956667066401,0.8213302996917136,0.8747360720113582,0.941496729850769,0.018952385989668193,0.5572230895337081,0.7954120749429079,0.540348139602224,0.6309944346929467,0.810240626335144,0.0005,21.6,True
22,0.0035632085094687454,0.8477984701024014,0.9558452186163551,0.8265787925029987,0.8767408270739184,0.9425334334373474,0.02770904332586645,0.544678320904907,0.6244215433189007,0.5237133135301539,0.5642710592513206,0.8179563879966736,0.0005,21.5,False
23,0.004015045858462534,0.836574652187937,0.949843535904351,0.8203287066817954,0.8689156315913612,0.9380142092704773,0.030433697189721935,0.3594193334213072,0.6953142383807729,0.5170450830604282,0.5239262182875027,0.7844277620315552,0.0005,21.4,False
24,0.0034463180209033154,0.8502311801871573,0.9578964586558741,0.832615554385206,0.8802477310760791,0.9427830576896667,0.024856311751405565,0.5547990994800771,0.7562298640311795,0.595561212002677,0.6355300585046445,0.8278948664665222,0.0005,21.4,True
